SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_30_length_37532_cov_25.459484	6142	7731	+	hly	1-1590/1590	===============	0/0	100	97.23	vfdb	NP_463733	(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_30_length_37532_cov_25.459484	8066	9598	+	mpl	1-1533/1533	===============	0/0	100	94.85	vfdb	NP_463734	(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_30_length_37532_cov_25.459484	9798	11715	+	actA	1-1918/1920	===============	0/0	99.9	94.16	vfdb	NP_463735	(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_30_length_37532_cov_25.459484	11754	12622	+	plcB	2-870/870	===============	0/0	99.89	95.51	vfdb	NP_463736	(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_32_length_33536_cov_17.304439	20088	20969	+	prsA2	1-882/882	===============	0/0	100	96.26	vfdb	NP_465743	(prsA2) post translocation chaperone PrsA2 [PrsA2 (VF0449)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_38_length_27254_cov_22.285878	19554	20171	-	lntA	1-618/618	===============	0/0	100	95.95	vfdb	NP_463967	(lntA) listeria nuclear targeted protein A [LntA (VF0440)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_38_length_27254_cov_22.285878	21873	23763	-	inlB	1-1891/1893	===============	0/0	99.89	92.44	vfdb	NP_463963	(inlB) Internalin B [InlB (VF0070)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_38_length_27254_cov_22.285878	23848	26241	-	inlA	1-2403/2403	========/======	9-Jan	99.63	96.09	vfdb	NP_463962	(inlA) Internalin A [InlA (VF0069)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_3_length_173457_cov_24.940847	102634	103566	+	lpeA	1-933/933	===============	0/0	100	96.68	vfdb	NP_465372	(lpeA) lipoprotein promoting cell invasion [LpeA (VF0346)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_3_length_173457_cov_24.940847	106491	106955	+	lspA	1-465/465	===============	0/0	100	97.63	vfdb	NP_465369	(lspA) signal peptidase II [Lsp (VF0351)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_3_length_173457_cov_24.940847	121526	123238	-	fbpA	1-1713/1713	===============	0/0	100	91.65	vfdb	NP_465354	(fbpA) fibronectin-binding protein [FbpA (VF0349)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_3_length_173457_cov_24.940847	166137	167027	+	inlC	1-891/891	===============	0/0	100	97.08	vfdb	NP_465311	(inlC) internalin C [InlC (VF0438)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_46_length_23313_cov_16.142759	19263	21149	+	oatA	1-1869/1869	========/======	18-Feb	100	93.48	vfdb	NP_464816	(oatA) peptidoglycan O-acetyltransferase [OatA (VF0441)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_46_length_23313_cov_16.142759	21182	23002	-	inlK	1-1797/1797	========/======	24-Feb	100	89.18	vfdb	NP_464815	(inlK) internalin K [InlK (VF0439)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_4_length_140319_cov_20.094021	41404	42399	-	lplA1	1-996/996	===============	0/0	100	92.77	vfdb	NP_464456	(lplA1) lipoate protein ligase [LplA1 (VF0347)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_50_length_21011_cov_23.886612	12660	13916	+	vip	1-1200/1200	========/======	Mar-57	100	85.36	vfdb	NP_463850	(vip) surface adhesin Vip [Vip (VF0443)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_63_length_5627_cov_13.202727	17	1402	-	hpt	1-1386/1386	===============	0/0	100	97.98	vfdb	NP_464364	(hpt) hexose phosphate transport protein [Hpt (VF0264)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_6_length_87619_cov_24.043878	33467	34063	+	clpP	1-597/597	===============	0/0	100	96.82	vfdb	NP_465991	(clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_87065_cov_19.714831	26741	28150	-	iap/cwhA	1-1449/1449	========/======	May-45	97.1	94.42	vfdb	NP_464110	(iap/cwhA) P60 extracellular protein invasion associated protein Iap [p60 (VF0068)] [Listeria monocytogenes EGD-e]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_80_length_2060_cov_1.785308	624	1541	-	llsY	1-918/918	===============	0/0	100	96.3	vfdb	AHK25021	(llsY) LlsY [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_82_length_1878_cov_2.334666	170	319	+	llsA	1-150/150	===============	0/0	100	98	vfdb	AHK25016	(llsA) listeriolysin S [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_82_length_1878_cov_2.334666	384	1271	+	llsG	1-888/888	===============	0/0	100	97.3	vfdb	AHK25017	(llsG) ABC transporter ATP-binding protein LlsG [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_82_length_1878_cov_2.334666	1271	1878	+	llsH	1-608/750	=============..	0/0	81.07	97.86	vfdb	AHK25018	(llsH) ABC transporter permease protein LlsH [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_92_length_834_cov_1.130127	197	514	+	llsX	1-318/318	===============	0/0	100	97.48	vfdb	AHK25019	(llsX) LlsX [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_10_length_107029_cov_26.648164	66900	67877	+	bsh	1-978/978	===============	0/0	100	97.55	vfdb	NP_465591	(bsh) bile salt hydrolase [BSH (VF0350)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_12_length_94456_cov_32.176033	89691	92153	-	clpC	1-2463/2463	===============	0/0	100	94.28	vfdb	NP_463763	(clpC) endopeptidase Clp ATP-binding chain C [ClpC (VF0072)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_13_length_87813_cov_29.301804	24911	25779	-	plcB	2-870/870	===============	0/0	99.89	95.51	vfdb	NP_463736	(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_13_length_87813_cov_29.301804	25818	27735	-	actA	1-1918/1920	===============	0/0	99.9	94.16	vfdb	NP_463735	(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_13_length_87813_cov_29.301804	27935	29467	-	mpl	1-1533/1533	===============	0/0	100	94.85	vfdb	NP_463734	(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_13_length_87813_cov_29.301804	29802	31391	-	hly	1-1590/1590	===============	0/0	100	97.23	vfdb	NP_463733	(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_13_length_87813_cov_29.301804	31634	32587	+	plcA	1-954/954	===============	0/0	100	97.48	vfdb	NP_463732	(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_13_length_87813_cov_29.301804	32860	33573	+	prfA	1-714/714	===============	0/0	100	97.48	vfdb	NP_463731	(prfA) listeriolysin positive regulatory protein [PrfA (VF0062)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_16_length_71513_cov_23.284313	20072	22240	-	clpE	1-2175/2175	========/======	6-Jan	99.72	93.56	vfdb	NP_464522	(clpE) ATP-dependent protease [ClpE (VF0073)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_18_length_65851_cov_31.472369	30332	32803	+	inlF	1-2466/2466	========/======	8-Mar	99.96	80.95	vfdb	NP_463939	(inlF) internalin F [InlF (VF0447)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_18_length_65851_cov_31.472369	38189	39589	+	pdgA	1-1401/1401	===============	0/0	100	97	vfdb	NP_463944	(pdgA) Peptidoglycan N-deacetylase [PgdA (VF0442)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_20_length_64148_cov_28.442730	57036	58292	+	vip	1-1200/1200	========/======	Mar-57	100	85.36	vfdb	NP_463850	(vip) surface adhesin Vip [Vip (VF0443)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_23_length_50054_cov_24.809241	19140	20525	-	hpt	1-1386/1386	===============	0/0	100	97.98	vfdb	NP_464364	(hpt) hexose phosphate transport protein [Hpt (VF0264)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_2_length_255593_cov_31.976024	6431	7321	-	inlC	1-891/891	===============	0/0	100	97.08	vfdb	NP_465311	(inlC) internalin C [InlC (VF0438)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_2_length_255593_cov_31.976024	50220	51932	+	fbpA	1-1713/1713	===============	0/0	100	91.65	vfdb	NP_465354	(fbpA) fibronectin-binding protein [FbpA (VF0349)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_2_length_255593_cov_31.976024	66503	66967	-	lspA	1-465/465	===============	0/0	100	97.63	vfdb	NP_465369	(lspA) signal peptidase II [Lsp (VF0351)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_2_length_255593_cov_31.976024	69892	70824	-	lpeA	1-933/933	===============	0/0	100	96.68	vfdb	NP_465372	(lpeA) lipoprotein promoting cell invasion [LpeA (VF0346)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_30_length_23118_cov_27.758123	19554	20171	-	lntA	1-618/618	===============	0/0	100	95.95	vfdb	NP_463967	(lntA) listeria nuclear targeted protein A [LntA (VF0440)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_37_length_6899_cov_4.104105	416	1729	-	llsD	1-1314/1314	===============	0/0	100	98.02	vfdb	AHK25022	(llsD) streptolysin-associated protein LlsD [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_37_length_6899_cov_4.104105	1722	2639	-	llsY	1-918/918	===============	0/0	100	96.19	vfdb	AHK25021	(llsY) LlsY [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_37_length_6899_cov_4.104105	2647	3522	-	llsB	1-876/876	===============	0/0	100	96.69	vfdb	AHK25020	(llsB) SagB family dehydrogenase LlsB [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_37_length_6899_cov_4.104105	3519	3836	-	llsX	1-318/318	===============	0/0	100	97.48	vfdb	AHK25019	(llsX) LlsX [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_37_length_6899_cov_4.104105	3877	4626	-	llsH	1-750/750	===============	0/0	100	97.6	vfdb	AHK25018	(llsH) ABC transporter permease protein LlsH [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_37_length_6899_cov_4.104105	4626	5513	-	llsG	1-888/888	===============	0/0	100	97.3	vfdb	AHK25017	(llsG) ABC transporter ATP-binding protein LlsG [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_37_length_6899_cov_4.104105	5578	5727	-	llsA	1-150/150	===============	0/0	100	98	vfdb	AHK25016	(llsA) listeriolysin S [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_39_length_4588_cov_23.756557	748	3141	-	inlA	1-2403/2403	========/======	9-Jan	99.63	96.09	vfdb	NP_463962	(inlA) Internalin A [InlA (VF0069)] [Listeria monocytogenes EGD-e]	
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_3_length_184398_cov_24.591775	95049	95930	+	prsA2	1-882/882	===============	0/0	100	96.26	vfdb	NP_465743	(prsA2) post translocation chaperone PrsA2 [PrsA2 (VF0449)] [Listeria monocytogenes EGD-e]	
