qseqid,sseqid,pident,length,evalue,bitscore,stitle,Sample
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_268913_cov_24.656444,NC_003210.1,95.598,110594,0,177200,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013314
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_238587_cov_24.314506,NC_003210.1,94.738,82407,0,128100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013314
SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_162431_cov_27.872492,NC_003210.1,94.913,162477,0,254200,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013315
SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_145886_cov_40.566600,NC_003210.1,94.908,72480,0,113400,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013315
SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_145886_cov_40.566600,NC_003210.1,94.484,71844,0,110700,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013315
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_234452_cov_27.575918,NC_003210.1,94.796,188976,0,294300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013316
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_168140_cov_31.720182,NC_003210.1,94.042,108265,0,164000,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013316
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_183393_cov_29.485480,NC_003210.1,94.738,82407,0,128100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013316
SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_190451_cov_33.575461,NC_003210.1,94.9,128045,0,200200,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013325
SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_187759_cov_40.819183,NC_003210.1,95.764,115119,0,185500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013325
SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_240919_cov_33.001669,NC_003210.1,95.612,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013325
SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_198285_cov_28.134166,NC_003210.1,94.874,120123,0,187600,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013326
SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_203010_cov_35.469192,NC_003210.1,95.764,115119,0,185500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013326
SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_184253_cov_28.313302,NC_003210.1,93.904,100202,0,151100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013326
SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_413118_cov_27.011407,NC_003210.1,94.874,304774,0,476000,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013327
SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_223435_cov_34.185085,NC_003210.1,95.762,115115,0,185500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013327
SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_293927_cov_26.151300,NC_003210.1,95.608,110594,0,177200,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013327
SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_171589_cov_28.664538,NC_003210.1,95.023,109196,0,171500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013328
SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_219147_cov_26.547379,NC_003210.1,95.485,81691,0,130400,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013328
SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_255593_cov_35.991940,NC_003210.1,94.765,74522,0,116000,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013328
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_264638_cov_34.939038,NC_003210.1,94.839,200559,0,312900,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013329
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_223435_cov_40.416179,NC_003210.1,95.763,115115,0,185500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013329
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_265454_cov_35.194552,NC_003210.1,95.61,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013329
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_289014_cov_40.704362,NC_003210.1,94.879,184645,0,288500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013330
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_222940_cov_44.626979,NC_003210.1,95.762,115115,0,185500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013330
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_294781_cov_36.721500,NC_003210.1,95.612,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013330
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_302078_cov_41.239155,NC_003210.1,94.899,197733,0,309100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013331
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_302985_cov_37.148849,NC_003210.1,95.612,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013331
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_295221_cov_38.330247,NC_003210.1,93.903,100202,0,151100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013331
SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_190833_cov_37.503020,NC_003210.1,94.901,128039,0,200200,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013332
SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_223435_cov_41.623265,NC_003210.1,95.762,115115,0,185500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013332
SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_197475_cov_33.127252,NC_003210.1,95.611,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013332
SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_327112_cov_39.247696,NC_003210.1,94.821,248992,0,388100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013333
SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_299624_cov_37.404238,NC_003210.1,95.611,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013333
SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_295377_cov_39.048345,NC_003210.1,93.904,100207,0,151100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013333
SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_302057_cov_49.957593,NC_003210.1,94.9,197712,0,309100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013334
SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_303309_cov_44.852425,NC_003210.1,95.612,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013334
SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_293225_cov_46.576821,NC_003210.1,93.905,100207,0,151100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013334
SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_458647_cov_37.710218,NC_003210.1,94.877,304774,0,476100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013335
SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_269711_cov_36.538311,NC_003210.1,95.612,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013335
SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_187913_cov_34.922454,NC_003210.1,93.9,100207,0,151100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013335
SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_223435_cov_42.657746,NC_003210.1,95.764,115115,0,185500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013336
SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_303228_cov_34.107670,NC_003210.1,95.612,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013336
SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_185611_cov_34.735767,NC_003210.1,93.904,100207,0,151100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013336
SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_232436_cov_28.629627,NC_003210.1,94.898,128047,0,200200,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013337
SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_166863_cov_27.095828,NC_003210.1,94.035,108265,0,163900,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013337
SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_174011_cov_26.132433,NC_003210.1,94.735,82406,0,128100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013337
SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_196035_cov_40.954703,NC_003210.1,95.762,115115,0,185500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013338
SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_127793_cov_37.791879,NC_003210.1,94.107,90020,0,136700,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013338
SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_237089_cov_44.692309,NC_003210.1,94.528,74767,0,115400,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013338
SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_105541_cov_29.305273,NC_003210.1,94.976,105569,0,165500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013339
SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_141551_cov_34.033339,NC_003210.1,95.849,95007,0,153500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013339
SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_154917_cov_41.248479,NC_003210.1,94.528,74767,0,115400,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013339
SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_191733_cov_36.543219,NC_003210.1,94.908,128519,0,201000,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013340
SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_153756_cov_35.409493,NC_003210.1,94.824,107090,0,166900,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013340
SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_163124_cov_46.023546,NC_003210.1,94.53,74767,0,115400,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013340
SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_259985_cov_48.379119,NC_003210.1,94.912,197571,0,309000,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013341
SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_243429_cov_45.285468,NC_003210.1,95.611,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013341
SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_238587_cov_47.090799,NC_003210.1,94.738,82407,0,128100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013341
SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_289015_cov_43.510004,NC_003210.1,94.879,184646,0,288500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013342
SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_212441_cov_40.430386,NC_003210.1,95.612,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013342
SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_295221_cov_40.539069,NC_003210.1,93.904,100202,0,151100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013342
SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_303418_cov_40.706219,NC_003210.1,94.861,199077,0,310800,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013343
SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_350151_cov_35.793051,NC_003210.1,95.611,110594,0,177300,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013343
SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_330121_cov_41.507140,NC_003210.1,94.923,105533,0,165100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013343
